Label,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Subsample,Precision,Recall,AUC,Accuracy
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,2,10%,0.404530744,0.925925926,0.772486772,0.686084142
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,2,10%,0.895806029,0.580220713,0.623640719,0.623729925
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,2,10%,0.387838948,0.882242991,0.668036154,0.668036154
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,2,10%,0.401982379,0.866983373,0.670154185,0.670154185
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,2,10%,0.898163606,0.616972477,0.67074847,0.670558799
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,2,10%,0.883495146,0.613483146,0.663430421,0.663430421
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,3,15%,0.763371151,0.411713287,0.642073332,0.642123662
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,3,15%,0.81352459,0.43483023,0.667552101,0.667488359
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,3,15%,0.832630098,0.434654919,0.673641703,0.673641703
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,3,15%,0.835416667,0.446051168,0.679087875,0.679087875
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,3,15%,0.864754098,0.455723542,0.692301426,0.692556634
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,3,15%,0.767756483,0.29763986,0.603822114,0.60388901
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,3,15%,0.772675086,0.36856517,0.63003601,0.629964393
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,3,15%,0.806666667,0.355359765,0.635095448,0.635095448
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,3,15%,0.794871795,0.379310345,0.640711902,0.640711902
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,3,15%,0.873239437,0.401727862,0.671769103,0.67206041
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,3,15%,0.598337064,0.817744755,0.634516764,0.634476731
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,3,15%,0.833333333,0.454545455,0.681793275,0.681731033
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,3,15%,0.819134993,0.458883994,0.678781204,0.678781204
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,3,15%,0.848178138,0.466073415,0.691323693,0.691323693
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,3,15%,0.657004831,0.881209503,0.71107889,0.710895361
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,3,15%,0.282342657,0.802484472,0.68358582,0.606510815
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,3,15%,0.348849945,0.799247177,0.691319454,0.630512188
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,3,15%,0.345080764,0.859232176,0.724747002,0.644273128
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,3,15%,0.368186874,0.85974026,0.72887933,0.654060067
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,3,15%,0.360691145,0.938202247,0.771504328,0.668824164
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,3,15%,0.387237762,0.806187443,0.647092013,0.647148787
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,3,15%,0.429901424,0.805128205,0.662895917,0.662832101
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,3,15%,0.424375918,0.83045977,0.66886931,0.66886931
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,3,15%,0.44160178,0.835789474,0.677419355,0.677419355
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,3,15%,0.453563715,0.882352941,0.696609444,0.696871629
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,4,20%,0.733742331,0.392002622,0.624877089,0.624877089
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,4,20%,0.779423227,0.410846343,0.64726452,0.647215944
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,4,20%,0.605553578,0.936674009,0.663270925,0.663270925
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,4,20%,0.6215763,0.927439533,0.681401168,0.681401168
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,4,20%,0.612114772,0.933549433,0.671467273,0.671255061
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,4,20%,0.738539898,0.285152409,0.592100951,0.592100951
